Lat,Lon,Title,Com.Autònoma,Casos,Hospitalizados,Ingressats a Uci,morts,poblacion,casos cada 10.000
37.3399964,-4.5811614,Andalucía,Andalusia,12783,6306,788,1404,8426405,"15,16"
41.3787291,-0.7639373,Aragón,Aragó,5781,2667,272,826,1319291,"43,74"
43.2710211,-5.8539063,Asturias,Astúries,2427,1111,125,314,1022800,"23,72"
39.6134018,2.8804305,Baleares,Balears,2125,1167,169,209,1149460,"18,43"
35.073666,-13.177855,Canarias,Canàries,2369,949,184,151,2153389,"10,98"
43.135837,-4.2636327,Cantabria,Cantàbria,2321,1049,79,202,581078,"39,93"
41.6551819, -4.7237201,Castilla la Mancha,Castella la Manxa,17505,9355,661,2945,2032863,"85,95"
38.9738639, -1.8530662,Castilla y León,Castella-Lleó,19161,8694,621,1928,2399548,"79,61"
41.8523094,1.5745043,Cataluña,Catalunya,59209,29197,2975,5587,7675217,"77,13"
35.888361,-5.304138,Ceuta,Ceuta,163,14,4,4,84777,"19,23"
39.4697495, -0.37739,C Valenciana,C Valenciana,11314,5792,739,1332,5003769,"22,58"
39.1748426,-6.1529891,Extremadura,Extremadura,2977,1772,138,508,1067710,"27,88"
42.61946,-7.863112,Galicia,Galícia,9145,2932,336,609,2699499,"33,87"
40.4167047,-3.7035825,Madrid,Madrid,69641,42104,3594,8691,6663394,"104,39"
35.2919028,-2.9407146,Melilla,Melilla,122,44,3,2,86487,"14,11"
37.9923795,-1.1305431,Murcia,Múrcia,1616,682,115,148,1493898,"10,82"
42.6125488,-1.8307877,Navarra,Navarra,5288,2039,136,490,654214,"80,78"
42.9911816,-2.5543023,País Vasco,País Basc,13542,6963,578,1424,2207776,"61,31"
42.2814642,-2.482805,La Rioja,La Rioja,4061,1486,91,362,316798,"128,06"
